rooms,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities,area_numeric,price_numeric
8.5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,7,300.0,3710
8.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,300.0,3710
8.5,1,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,6,1,14,300.0,3710
8.5,5,1,14,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,2,1,31,300.0,3710
8.5,4,1,8,1,8,1,0,0,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,29,300.0,3710
4.5,4,1,8,1,8,1,0,0,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,29,121.0,4340
4.5,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,121.0,4340
4.5,2,1,2,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,1,24,121.0,4340
4.5,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,121.0,4340
4.5,3,1,10,1,0,0,1,1,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,1,33,121.0,4340
4.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,121.0,4340
4.5,3,1,11,1,3,1,1,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,1,25,121.0,4340
4.5,2,1,16,1,5,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,2,1,33,121.0,4340
4.5,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,121.0,4340
4.5,5,1,18,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,4,1,0,0,1,1,0,0,3,1,35,121.0,4340
4.5,3,1,11,1,0,0,0,0,4,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,4,1,0,0,27,1,53,121.0,4340
4.5,13,1,80,1,42,1,5,1,24,1,1,1,0,0,0,0,0,0,3,1,4,1,0,0,4,1,0,0,7,1,183,121.0,4340
4.5,13,1,80,1,42,1,5,1,24,1,1,1,0,0,0,0,0,0,3,1,4,1,0,0,4,1,0,0,7,1,183,121.0,4340
4.5,0,0,3,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,27,1,35,121.0,4340
4.5,1,1,6,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,5,1,0,0,12,1,34,121.0,4340
4.5,1,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,0,0,4,1,15,121.0,4340
4.5,1,1,6,1,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2,1,2,1,0,0,15,1,31,121.0,4340
4.5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,121.0,4340
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,150.0,3250
5.5,3,1,10,1,0,0,1,1,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,1,33,150.0,3250
5.5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,7,150.0,3250
5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,150.0,3250
5.5,1,1,4,1,0,0,1,1,2,1,0,0,0,0,2,1,0,0,0,0,3,1,1,1,1,1,0,0,3,1,18,150.0,3250
5.5,10,1,17,1,3,1,2,1,13,1,1,1,0,0,2,1,0,0,0,0,2,1,6,1,6,1,0,0,5,1,67,150.0,3250
5.5,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,2,1,0,0,1,1,9,150.0,3250
5.5,5,1,10,1,4,1,0,0,1,1,1,1,0,0,2,1,0,0,0,0,3,1,5,1,2,1,1,1,4,1,38,150.0,3250
