address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Seefeldstrasse 104, 8008 Zürich",3300,47.35929725,8.5526727,4002064667,4.5,170.0,17,1,55,1,5,1,2,1,6,1,4,1,0,0,2,1,0,0,1,1,6,1,3,1,4,1,0,0,6,1,111
"Karl Stauffer-Strasse, 8008 Zürich",3300,47.35517074021481,8.572854620731947,4002064533,4.5,170.0,5,1,9,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,1,3,1,0,0,3,1,0,0,2,1,27
"Schwenkelweg 11, 8645 Rapperswil-Jona",3300,47.2432192,8.811271526203207,4002057034,4.5,170.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Dorfstrasse 31, 5244 Birrhard",3300,47.4331612,8.2458127,4002055225,4.5,170.0,2,1,10,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,2,1,2,1,0,0,17,1,37
"Seestrasse 136-142, 8707 Uetikon am See",3710,47.26182801772334,8.668122765104448,4002003120,8.5,300.0,6,1,14,1,2,1,0,0,3,1,3,1,0,0,1,1,1,1,0,0,4,1,6,1,5,1,0,0,10,1,55
8152 Opfikon,3710,47.429687660338985,8.568407220813558,4001995122,8.5,300.0,4,1,21,1,0,0,0,0,7,1,1,1,0,0,0,0,0,0,1,1,3,1,0,0,5,1,0,0,17,1,59
3780 Gstaad,3710,46.4761004,7.2873587,4001987343,8.5,300.0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,1,12
"Dorfstrasse 14, 4206 Seewen SO",3710,47.435012,7.656622998231198,4001978241,8.5,300.0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
"Champs Saint-Martin 41, 2942 Alle",3710,47.4229949,7.1260547,4001970470,8.5,300.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,5
"Tannwaldweg 6, 4112 Hofstetten-Flüh",3710,47.483485,7.493989299450808,4001956926,8.5,300.0,2,1,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9
"Gotthardstrasse 1, 8248 Laufen-Uhwiesen",3710,47.6712717,8.637511549779248,4001936434,8.5,300.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8
